id,first_name,last_name,email,country,drugs,gender,color,str
1,Steven,Banks,sbanks0@i2i.jp,China,clarithromycin,Male,#51e4e2,<svg><script>0<1>alert('XSS')</script>
2,Billy,Nguyen,bnguyen1@php.net,Indonesia,Cephalexin,Male,#d252da,1E02
3,Raymond,Morales,rmorales2@foxnews.com,Philippines,La Roche-Posay Laboratoire Pharmaceutique Anthelios 60,Male,#8c5c4e,␡
4,Jean,Carpenter,jcarpenter3@privacy.gov.au,China,Propranolol Hydrochloride,Female,#0b57d2,",./;'[]\-="
5,Sandra,Ramos,sramos4@squidoo.com,Taiwan,Chemtox,Female,#c2433f,-1/2
6,Laura,Owens,lowens5@joomla.org,Tanzania,sunmark childrens pain and fever,Female,#6790a3,nil
7,Teresa,Graham,tgraham6@live.com,Indonesia,Tropicamide,Female,#6bdf71,パーティーへ行かないか
8,Sarah,Alvarez,salvarez7@163.com,Bulgaria,Aplicare Povidone Iodine Swabstick,Female,#25cd89,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥
9,Irene,Jackson,ijackson8@bluehost.com,Philippines,Lisinopril,Female,#b1cb9d,1.00
10,Jason,Tucker,jtucker9@globo.com,Colombia,Listerine HealthyWhite Anticavity Mouthrinse Vibrant - Clean Mint,Male,#b190ac,åß∂ƒ©˙∆˚¬…æ
11,Janice,Sullivan,jsullivana@auda.org.au,Indonesia,Allegra-D,Female,#e27941,田中さんにあげて下さい
12,Carol,Griffin,cgriffinb@statcounter.com,Jamaica,Vyvanse,Female,#dc6504,-1E2
13,Patricia,Coleman,pcolemanc@ibm.com,Bolivia,Z-TUSS,Female,#8a10a2,(｡◕ ∀ ◕｡)
